[BSA],Abs562,Abs sample,uL of sample in 200 uL
2000,2.001,2.772,150
1500,1.708,0.128,10
1000,1.191,0.96,50
750,0.851,,
500,0.696,,
250,0.379,,
120,0.196,,
25,0.059,,
0,0,,
